Country Name,Country Code,Indicator Name,Indicator Code,values
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3276184358
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1.01E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18053222687
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,7.68E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,79450688259
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15156424015
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3218419897
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.87E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,4.27E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.25E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12457940695
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,639000000
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1661529630
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.43E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.55E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,47112470052
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2667182200
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.43E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,14262408090
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,15890066221
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,3.21E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,66370132238
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,37802005319
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12615800000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20484053869
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,60031173808
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2292787336
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7225977000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40287647931
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.92E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5128345200
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13566937674
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2583335723
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,17031943186
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2220979146
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.73E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.65E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,7.26E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,9940766574
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.96E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.39E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,58522477787
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,39955552190
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,47568210010
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,14773900278
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.34E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1188797449
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2205099507
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,62420164992
