Country Name,Country Code,Indicator Name,Indicator Code,values
Aruba,ABW,Gini index,SI.POV.GINI,
Africa Eastern and Southern,AFE,Gini index,SI.POV.GINI,
Afghanistan,AFG,Gini index,SI.POV.GINI,
Africa Western and Central,AFW,Gini index,SI.POV.GINI,
Angola,AGO,Gini index,SI.POV.GINI,51.3
Albania,ALB,Gini index,SI.POV.GINI,30.1
Andorra,AND,Gini index,SI.POV.GINI,
Arab World,ARB,Gini index,SI.POV.GINI,
United Arab Emirates,ARE,Gini index,SI.POV.GINI,26.4
Argentina,ARG,Gini index,SI.POV.GINI,41.7
Armenia,ARM,Gini index,SI.POV.GINI,34.4
American Samoa,ASM,Gini index,SI.POV.GINI,
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,
Australia,AUS,Gini index,SI.POV.GINI,34.3
Austria,AUT,Gini index,SI.POV.GINI,30.8
Azerbaijan,AZE,Gini index,SI.POV.GINI,
Burundi,BDI,Gini index,SI.POV.GINI,
Belgium,BEL,Gini index,SI.POV.GINI,27.2
Benin,BEN,Gini index,SI.POV.GINI,37.9
Burkina Faso,BFA,Gini index,SI.POV.GINI,43
Bangladesh,BGD,Gini index,SI.POV.GINI,
Bulgaria,BGR,Gini index,SI.POV.GINI,41.3
Bahrain,BHR,Gini index,SI.POV.GINI,
"Bahamas, The",BHS,Gini index,SI.POV.GINI,
Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,
Belarus,BLR,Gini index,SI.POV.GINI,25.2
Belize,BLZ,Gini index,SI.POV.GINI,
Bermuda,BMU,Gini index,SI.POV.GINI,
Bolivia,BOL,Gini index,SI.POV.GINI,42.6
Brazil,BRA,Gini index,SI.POV.GINI,53.9
Barbados,BRB,Gini index,SI.POV.GINI,
Brunei Darussalam,BRN,Gini index,SI.POV.GINI,
Bhutan,BTN,Gini index,SI.POV.GINI,
Botswana,BWA,Gini index,SI.POV.GINI,
Central African Republic,CAF,Gini index,SI.POV.GINI,
Canada,CAN,Gini index,SI.POV.GINI,32.5
Central Europe and the Baltics,CEB,Gini index,SI.POV.GINI,
Switzerland,CHE,Gini index,SI.POV.GINI,33.1
Channel Islands,CHI,Gini index,SI.POV.GINI,
Chile,CHL,Gini index,SI.POV.GINI,
China,CHN,Gini index,SI.POV.GINI,38.5
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,37.2
Cameroon,CMR,Gini index,SI.POV.GINI,
"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,
"Congo, Rep.",COG,Gini index,SI.POV.GINI,
Colombia,COL,Gini index,SI.POV.GINI,50.4
Comoros,COM,Gini index,SI.POV.GINI,
Cabo Verde,CPV,Gini index,SI.POV.GINI,
Costa Rica,CRI,Gini index,SI.POV.GINI,48
Caribbean small states,CSS,Gini index,SI.POV.GINI,
Cuba,CUB,Gini index,SI.POV.GINI,
Curacao,CUW,Gini index,SI.POV.GINI,
Cayman Islands,CYM,Gini index,SI.POV.GINI,
Cyprus,CYP,Gini index,SI.POV.GINI,32.7
Czechia,CZE,Gini index,SI.POV.GINI,25
Germany,DEU,Gini index,SI.POV.GINI,31.9
Djibouti,DJI,Gini index,SI.POV.GINI,
Dominica,DMA,Gini index,SI.POV.GINI,
Denmark,DNK,Gini index,SI.POV.GINI,28.2
Dominican Republic,DOM,Gini index,SI.POV.GINI,43.7
Algeria,DZA,Gini index,SI.POV.GINI,
East Asia & Pacific (excluding high income),EAP,Gini index,SI.POV.GINI,
Early-demographic dividend,EAR,Gini index,SI.POV.GINI,
East Asia & Pacific,EAS,Gini index,SI.POV.GINI,
Europe & Central Asia (excluding high income),ECA,Gini index,SI.POV.GINI,
Europe & Central Asia,ECS,Gini index,SI.POV.GINI,
Ecuador,ECU,Gini index,SI.POV.GINI,45.4
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,
Euro area,EMU,Gini index,SI.POV.GINI,
Eritrea,ERI,Gini index,SI.POV.GINI,
Spain,ESP,Gini index,SI.POV.GINI,34.7
Estonia,EST,Gini index,SI.POV.GINI,30.3
Ethiopia,ETH,Gini index,SI.POV.GINI,
European Union,EUU,Gini index,SI.POV.GINI,
Fragile and conflict affected situations,FCS,Gini index,SI.POV.GINI,
Finland,FIN,Gini index,SI.POV.GINI,27.3
Fiji,FJI,Gini index,SI.POV.GINI,
France,FRA,Gini index,SI.POV.GINI,32.4
Faroe Islands,FRO,Gini index,SI.POV.GINI,
"Micronesia, Fed. Sts.",FSM,Gini index,SI.POV.GINI,
Gabon,GAB,Gini index,SI.POV.GINI,
United Kingdom,GBR,Gini index,SI.POV.GINI,33.7
Georgia,GEO,Gini index,SI.POV.GINI,36.4
Ghana,GHA,Gini index,SI.POV.GINI,
Gibraltar,GIB,Gini index,SI.POV.GINI,
Guinea,GIN,Gini index,SI.POV.GINI,29.6
"Gambia, The",GMB,Gini index,SI.POV.GINI,
Guinea-Bissau,GNB,Gini index,SI.POV.GINI,34.8
Equatorial Guinea,GNQ,Gini index,SI.POV.GINI,
Greece,GRC,Gini index,SI.POV.GINI,32.9
Grenada,GRD,Gini index,SI.POV.GINI,43.8
Greenland,GRL,Gini index,SI.POV.GINI,
Guatemala,GTM,Gini index,SI.POV.GINI,
Guam,GUM,Gini index,SI.POV.GINI,
Guyana,GUY,Gini index,SI.POV.GINI,
High income,HIC,Gini index,SI.POV.GINI,
"Hong Kong SAR, China",HKG,Gini index,SI.POV.GINI,
Honduras,HND,Gini index,SI.POV.GINI,48.9
Heavily indebted poor countries (HIPC),HPC,Gini index,SI.POV.GINI,
Croatia,HRV,Gini index,SI.POV.GINI,29.7
Haiti,HTI,Gini index,SI.POV.GINI,
Hungary,HUN,Gini index,SI.POV.GINI,29.6
IBRD only,IBD,Gini index,SI.POV.GINI,
IDA & IBRD total,IBT,Gini index,SI.POV.GINI,
IDA total,IDA,Gini index,SI.POV.GINI,
IDA blend,IDB,Gini index,SI.POV.GINI,
Indonesia,IDN,Gini index,SI.POV.GINI,36.3
IDA only,IDX,Gini index,SI.POV.GINI,
Isle of Man,IMN,Gini index,SI.POV.GINI,
India,IND,Gini index,SI.POV.GINI,34.5
Not classified,INX,Gini index,SI.POV.GINI,
Ireland,IRL,Gini index,SI.POV.GINI,30.6
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,37.4
