Financial year,State/territory,School sector,Expenditure item,Total expenditure,Expenditure per student
2021/22,New South Wales,Government,Australian Government,"$2,964,607,000 ","$3,723 "
2021/22,New South Wales,Government,State and territory governments,"$15,796,271,000 ","$19,835 "
2021/22,New South Wales,Government,Total Australian/State/territory government expenditure,"$18,760,878,000 ","$23,558 "
2021/22,New South Wales,All non-government,Australian Government,"$4,698,061,000 ","$10,538 "
2021/22,New South Wales,All non-government,State and territory governments,"$1,571,071,000 ","$3,524 "
2021/22,New South Wales,All non-government,Total Australian/State/territory government expenditure,"$6,269,132,000 ","$14,061 "
2021/22,New South Wales,All,Australian Government,"$7,662,668,000 ","$6,169 "
2021/22,New South Wales,All,State and territory governments,"$17,367,342,000 ","$13,981 "
2021/22,New South Wales,All,Total Australian/State/territory government expenditure,"$25,030,010,000 ","$20,150 "
2021/22,Victoria,Government,Australian Government,"$2,298,258,000 ","$3,566 "
2021/22,Victoria,Government,State and territory governments,"$11,765,817,000 ","$18,258 "
2021/22,Victoria,Government,Total Australian/State/territory government expenditure,"$14,064,075,000 ","$21,824 "
2021/22,Victoria,All non-government,Australian Government,"$3,903,124,000 ","$10,620 "
2021/22,Victoria,All non-government,State and territory governments,"$910,693,000 ","$2,478 "
2021/22,Victoria,All non-government,Total Australian/State/territory government expenditure,"$4,813,817,000 ","$13,098 "
2021/22,Victoria,All,Australian Government,"$6,201,382,000 ","$6,128 "
2021/22,Victoria,All,State and territory governments,"$12,676,510,000 ","$12,527 "
2021/22,Victoria,All,Total Australian/State/territory government expenditure,"$18,877,892,000 ","$18,655 "
2021/22,Queensland,Government,Australian Government,"$2,173,649,000 ","$3,801 "
2021/22,Queensland,Government,State and territory governments,"$10,212,526,000 ","$17,860 "
2021/22,Queensland,Government,Total Australian/State/territory government expenditure,"$12,386,175,000 ","$21,661 "
2021/22,Queensland,All non-government,Australian Government,"$3,307,501,000 ","$11,189 "
2021/22,Queensland,All non-government,State and territory governments,"$1,026,710,000 ","$3,473 "
2021/22,Queensland,All non-government,Total Australian/State/territory government expenditure,"$4,334,211,000 ","$14,662 "
2021/22,Queensland,All,Australian Government,"$5,481,150,000 ","$6,319 "
2021/22,Queensland,All,State and territory governments,"$11,239,236,000 ","$12,957 "
2021/22,Queensland,All,Total Australian/State/territory government expenditure,"$16,720,386,000 ","$19,276 "
2021/22,South Australia,Government,Australian Government,"$653,692,000 ","$3,785 "
2021/22,South Australia,Government,State and territory governments,"$3,072,330,000 ","$17,787 "
2021/22,South Australia,Government,Total Australian/State/territory government expenditure,"$3,726,022,000 ","$21,572 "
2021/22,South Australia,All non-government,Australian Government,"$1,138,511,000 ","$11,220 "
2021/22,South Australia,All non-government,State and territory governments,"$340,952,000 ","$3,360 "
2021/22,South Australia,All non-government,Total Australian/State/territory government expenditure,"$1,479,463,000 ","$14,580 "
2021/22,South Australia,All,Australian Government,"$1,792,203,000 ","$6,536 "
2021/22,South Australia,All,State and territory governments,"$3,413,282,000 ","$12,448 "
2021/22,South Australia,All,Total Australian/State/territory government expenditure,"$5,205,485,000 ","$18,984 "
2021/22,Western Australia,Government,Australian Government,"$1,026,222,000 ","$3,507 "
2021/22,Western Australia,Government,State and territory governments,"$5,394,672,000 ","$18,435 "
2021/22,Western Australia,Government,Total Australian/State/territory government expenditure,"$6,420,894,000 ","$21,942 "
2021/22,Western Australia,All non-government,Australian Government,"$1,554,691,000 ","$10,692 "
2021/22,Western Australia,All non-government,State and territory governments,"$490,097,000 ","$3,371 "
2021/22,Western Australia,All non-government,Total Australian/State/territory government expenditure,"$2,044,788,000 ","$14,063 "
2021/22,Western Australia,All,Australian Government,"$2,580,913,000 ","$5,892 "
2021/22,Western Australia,All,State and territory governments,"$5,884,769,000 ","$13,434 "
2021/22,Western Australia,All,Total Australian/State/territory government expenditure,"$8,465,682,000 ","$19,326 "
2021/22,Tasmania,Government,Australian Government,"$228,907,000 ","$4,124 "
2021/22,Tasmania,Government,State and territory governments,"$1,100,837,000 ","$19,831 "
2021/22,Tasmania,Government,Total Australian/State/territory government expenditure,"$1,329,744,000 ","$23,954 "
2021/22,Tasmania,All non-government,Australian Government,"$338,322,000 ","$13,069 "
2021/22,Tasmania,All non-government,State and territory governments,"$92,475,000 ","$3,572 "
2021/22,Tasmania,All non-government,Total Australian/State/territory government expenditure,"$430,797,000 ","$16,641 "
2021/22,Tasmania,All,Australian Government,"$567,228,000 ","$6,968 "
2021/22,Tasmania,All,State and territory governments,"$1,193,313,000 ","$14,660 "
2021/22,Tasmania,All,Total Australian/State/territory government expenditure,"$1,760,541,000 ","$21,628 "
2021/22,Northern Territory,Government,Australian Government,"$248,981,000 ","$8,393 "
2021/22,Northern Territory,Government,State and territory governments,"$651,266,000 ","$21,953 "
2021/22,Northern Territory,Government,Total Australian/State/territory government expenditure,"$900,247,000 ","$30,346 "
2021/22,Northern Territory,All non-government,Australian Government,"$200,599,000 ","$19,004 "
2021/22,Northern Territory,All non-government,State and territory governments,"$61,245,000 ","$5,802 "
2021/22,Northern Territory,All non-government,Total Australian/State/territory government expenditure,"$261,844,000 ","$24,806 "
2021/22,Northern Territory,All,Australian Government,"$449,580,000 ","$11,177 "
2021/22,Northern Territory,All,State and territory governments,"$712,511,000 ","$17,714 "
2021/22,Northern Territory,All,Total Australian/State/territory government expenditure,"$1,162,091,000 ","$28,892 "
2021/22,Australian Capital Territory,Government,Australian Government,"$143,798,000 ","$3,117 "
2021/22,Australian Capital Territory,Government,State and territory governments,"$1,007,067,000 ","$21,826 "
2021/22,Australian Capital Territory,Government,Total Australian/State/territory government expenditure,"$1,150,865,000 ","$24,943 "
2021/22,Australian Capital Territory,All non-government,Australian Government,"$245,592,000 ","$8,352 "
2021/22,Australian Capital Territory,All non-government,State and territory governments,"$69,509,000 ","$2,364 "
2021/22,Australian Capital Territory,All non-government,Total Australian/State/territory government expenditure,"$315,100,000 ","$10,716 "
2021/22,Australian Capital Territory,All,Australian Government,"$389,390,000 ","$5,154 "
2021/22,Australian Capital Territory,All,State and territory governments,"$1,076,575,000 ","$14,251 "
2021/22,Australian Capital Territory,All,Total Australian/State/territory government expenditure,"$1,465,965,000 ","$19,405 "
2021/22,Australia,Government,Australian Government,"$9,738,114,000 ","$3,732 "
2021/22,Australia,Government,State and territory governments,"$49,000,786,000 ","$18,779 "
2021/22,Australia,Government,Total Australian/State/territory government expenditure,"$58,738,900,000 ","$22,511 "
2021/22,Australia,All non-government,Australian Government,"$15,386,401,000 ","$10,823 "
2021/22,Australia,All non-government,State and territory governments,"$4,562,752,000 ","$3,209 "
2021/22,Australia,All non-government,Total Australian/State/territory government expenditure,"$19,949,153,000 ","$14,032 "
2021/22,Australia,All,Australian Government,"$25,124,515,000 ","$6,233 "
2021/22,Australia,All,State and territory governments,"$53,563,538,000 ","$13,288 "
2021/22,Australia,All,Total Australian/State/territory government expenditure,"$78,688,053,000 ","$19,521 "
