State,Year,Education Expenditure (Million AUD),GSP (Million AUD),"Crime Rate (per 100,000)",Literacy Rate (%),Poverty Rate (%)
New South Wales,2010,31944,598749,627.5015757540423,96.79705110191834,15.05779589727781
New South Wales,2011,25274,495299,880.0450033147214,98.02787491782271,5.19899727479036
New South Wales,2012,13557,281326,773.0610102789889,95.87886688120433,17.169014747597714
New South Wales,2013,21788,344942,442.4401823612262,98.50659168128622,17.942597261920213
New South Wales,2014,47353,138696,1263.9850581090204,94.22250263454434,19.24012175774712
New South Wales,2015,18879,464809,1124.350302984142,94.93032588495895,17.91229970147334
New South Wales,2016,13915,383829,395.2573010817654,93.72966524239776,12.940415095776283
New South Wales,2017,30539,389791,1033.8836604814683,96.68240906713612,9.791888573412775
New South Wales,2018,6177,283065,236.10578480017148,94.03441608297082,12.53214595073289
New South Wales,2019,34517,575629,1091.4150947674932,98.20833836852674,16.675666859990613
New South Wales,2020,39159,792683,511.8847548517694,96.03302469723519,16.04294853994564
New South Wales,2021,35152,754219,884.5248280461037,96.74390869447171,19.592466831962884
New South Wales,2022,46309,657592,256.40397825958235,93.12158809683213,13.546767086784655
New South Wales,2023,37876,187228,883.1552053405369,96.51466906533696,5.760749920027364
Victoria,2010,24191,323917,1443.8137398299325,95.61341548170496,7.065495407386848
Victoria,2011,33413,241637,927.7487393613922,91.34982650183291,5.838379079934147
Victoria,2012,19587,659393,244.28673782316537,98.07866325917492,8.802933281149272
Victoria,2013,34185,362059,449.69608027514374,92.15465243423137,8.759781196033451
Victoria,2014,18310,314809,149.8367800027391,94.33253385497983,13.713009655520155
Victoria,2015,15081,536618,1261.8013676233406,95.71644851638646,16.79115584469193
Victoria,2016,40784,310310,608.5659273697249,92.36294733626664,14.47169494752088
Victoria,2017,7812,772393,209.56771151169175,96.17098308170299,17.65536269056141
Victoria,2018,38419,239354,209.21315670830478,97.17509844825764,14.871136590146486
Victoria,2019,19485,735269,630.4355165773704,92.65164847187992,7.1545756076273594
Victoria,2020,27461,459516,596.4506751659083,98.52398508503627,5.048329501722075
Victoria,2021,45371,575525,717.7164934698984,93.65973101745594,19.80381025834728
Victoria,2022,48190,145532,130.4015770219002,91.9806580440115,6.696632270037734
Victoria,2023,9217,187435,738.8599562290584,95.81289022810894,18.743078662222437
Queensland,2010,44688,752321,1126.0104425407833,91.43207872256187,14.927235336132183
Queensland,2011,6319,573621,525.6357061547513,93.75093472935134,14.870070532258644
Queensland,2012,28869,694437,519.8370427853083,93.74891056877344,12.000156513665317
Queensland,2013,43649,245832,1335.3106051839393,95.95439249303294,16.096652417888066
Queensland,2014,37183,133903,494.7544937080364,92.40893362083773,17.963261888954815
Queensland,2015,19409,497431,492.0302972481459,92.45368157744501,11.842576925805577
Queensland,2016,33174,442356,861.7553278191431,94.63672252293698,18.25136722043751
Queensland,2017,23849,611058,1069.521901913552,93.45434350807888,6.316182426363952
Queensland,2018,35990,178775,390.5578796964601,94.47700825355733,12.091677049959594
Queensland,2019,29273,440860,1159.9267303104978,94.14780521337234,10.484283845393305
Queensland,2020,42433,504757,127.37601167709447,92.30830279591692,8.26898690508016
Queensland,2021,29873,628878,191.51350827838735,95.3703666570272,19.640318919189703
Queensland,2022,15798,473133,249.65296129064646,90.36471396116036,5.616704125617546
Queensland,2023,37525,500527,883.9308404515106,96.41383533269973,8.581754871941175
Western Australia,2010,37811,799798,650.2875190676792,96.72114437791937,14.524816206195883
Western Australia,2011,34356,494527,1080.5179302805095,91.50324598634145,14.220871018850538
Western Australia,2012,41765,639581,1010.6016493491812,96.9928096814978,7.231434032650916
Western Australia,2013,41728,459617,823.4746469116395,90.8535685041492,19.53349970411531
Western Australia,2014,32309,415671,857.112788283595,95.56915929591217,11.095682864253657
Western Australia,2015,7069,476085,556.7244580038647,90.06106116308662,14.059398866968353
Western Australia,2016,29798,181468,244.97974584222283,94.08991525468055,7.806956721328097
Western Australia,2017,28118,196792,573.8857364289101,90.44464579690357,14.321450499876924
Western Australia,2018,30497,203235,422.40875392350097,95.29207874359113,9.92401063502885
Western Australia,2019,19979,127070,276.00397919084884,90.65443127043152,18.75187370152112
Western Australia,2020,18522,299718,886.0910773148354,97.95132687498231,13.984586379747972
Western Australia,2021,47530,462409,1299.4217994172402,97.41297755520503,9.973514580088743
Western Australia,2022,35496,767092,647.9371663339308,95.14153184098785,15.946034540128913
Western Australia,2023,42688,535532,532.4348971659626,90.20112148584418,11.451336190096157
South Australia,2010,22162,118379,595.1684421604725,96.72774269763056,11.529319132460344
South Australia,2011,13986,300739,806.9361932350915,98.58059251925727,7.422327402455092
South Australia,2012,19452,303528,1153.7966141313614,92.23922224394538,17.53871790943253
South Australia,2013,47053,269508,1016.3519842665637,94.82273265549954,6.405132445512622
South Australia,2014,12112,111054,1441.9816382067336,96.41284412482747,18.027203583954794
South Australia,2015,22146,622874,1390.2481647288546,94.64148928396989,19.357718284284328
South Australia,2016,14359,398657,531.2219843882488,98.87632248577273,13.037155238422164
South Australia,2017,41395,794535,941.7776701836495,95.52640726903691,9.07492874233731
South Australia,2018,36604,604963,1286.2762311741992,91.88458819872668,18.21838436300342
South Australia,2019,28967,252759,1041.1174045579905,93.19259020468543,17.18043124112972
South Australia,2020,43974,476300,387.83102252831975,96.33473891910742,9.26719268482693
South Australia,2021,14181,226749,1202.7506879105038,90.03678630836006,6.769328006040925
South Australia,2022,41582,673119,1116.932602588197,95.807761791321,5.692060777905052
South Australia,2023,27513,644049,296.3428933111393,92.31684705697825,15.89530813108849
Tasmania,2010,29347,371723,1354.5985352587848,91.91685101917126,7.609101331450325
Tasmania,2011,49421,277112,727.1586047291205,96.47762149473174,10.277672149740042
Tasmania,2012,23379,168707,1349.288774008678,92.45785266378275,18.213048571679774
Tasmania,2013,6520,230215,474.72758421632807,90.90210505712935,12.612084117108928
Tasmania,2014,6984,579581,300.3219126459094,96.72209119530035,16.70203699815076
Tasmania,2015,41953,312133,272.96440798276024,96.29321230894723,9.389774600557065
Tasmania,2016,49661,770087,1345.9008198336364,96.43993770793698,9.10455369745999
Tasmania,2017,16246,421445,709.3347146052057,91.87914393537194,15.902974986230314
Tasmania,2018,45915,222568,889.7874648317857,98.17242018329202,11.079881841581004
Tasmania,2019,32422,251105,352.9344092113122,98.09695521928771,13.66750389009245
Tasmania,2020,24276,519115,1323.9306778604976,95.42828565081572,6.1433346262596835
Tasmania,2021,44887,604625,441.45777027446854,93.53904403389475,12.22629752533809
Tasmania,2022,16438,362537,1186.5561096479069,93.77382549460332,19.4451104389268
Tasmania,2023,17001,789819,921.0981522429591,98.89480084750755,5.520558816328215
Australian Capital Territory,2010,18691,206857,1147.2440674837067,93.62286897797458,18.712534148362884
Australian Capital Territory,2011,20164,582947,865.3883562189415,92.63618351749038,6.173586690338714
Australian Capital Territory,2012,22755,378974,799.7999367209269,92.83498105389877,16.428062093147936
Australian Capital Territory,2013,27918,267688,989.2163942936272,97.01193894599984,9.98847074730949
Australian Capital Territory,2014,16892,151862,274.45877989075217,90.35493064504116,10.81980914383685
Australian Capital Territory,2015,14307,501853,1148.3189366855452,96.81972992169617,14.836054940626834
Australian Capital Territory,2016,41446,289897,1044.1699966130886,95.86197388360635,14.59873655341623
Australian Capital Territory,2017,34567,297201,1086.1941530455151,94.99882948441977,14.278299495957759
Australian Capital Territory,2018,27023,120442,1025.054776690553,95.31767489798264,19.814285312861237
Australian Capital Territory,2019,5082,495908,1082.7568233784405,96.64628953095071,8.847861163499775
Australian Capital Territory,2020,18331,510368,420.28142080929086,92.00156515118363,7.867920990344769
Australian Capital Territory,2021,37621,226962,859.3931131013765,96.21518798601997,19.678457780549202
Australian Capital Territory,2022,18642,732948,906.8630474497497,93.9148368385888,9.544368886797876
Australian Capital Territory,2023,17524,509618,1092.9163389866053,94.28026013867523,18.110364206389598
Northern Territory,2010,15088,163241,1425.8582979545085,90.28223434385605,10.36642919990426
Northern Territory,2011,13289,771976,256.92447606769053,98.27376071925492,15.984232532375533
Northern Territory,2012,20981,253395,538.2654052289568,95.80845318043335,8.722934418757093
Northern Territory,2013,32950,563030,1366.0161268510662,97.21491114610374,15.515443504234105
Northern Territory,2014,23853,667133,598.7485853490197,98.1122115182333,14.426517655041474
Northern Territory,2015,46590,765987,1001.8276044971379,92.54965124633902,17.31179519932348
Northern Territory,2016,22187,548241,1058.6408335076721,90.21306677415261,7.546755321166097
Northern Territory,2017,47325,697828,257.07733133882914,96.83153165776679,18.494169015754395
Northern Territory,2018,41069,267965,1212.4831353840827,96.10089649624574,6.294475471581018
Northern Territory,2019,12620,331829,426.1899586099868,95.28875623865642,16.54836071465349
Northern Territory,2020,24374,502735,259.191339975765,96.51770118247254,9.272807718662275
Northern Territory,2021,25170,643677,1268.1763810886202,92.86884372129664,7.097044516008443
Northern Territory,2022,17224,185311,1152.0315400960537,90.64857396930992,10.957434767267198
Northern Territory,2023,21735,149329,214.40859953937354,93.68225469458277,5.732586793044497
