Country Name,Country Code,Indicator Name,Indicator Code,values
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3544707788.0
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1236160000000.0
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14502158192.0
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,796586000000.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,84722957642.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,22977677861.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3727673593.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,3491520000000.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,504173000000.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,640591000000.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,24212134631.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,871000000.0
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2033085185.0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1723830000000.0
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,516034000000.0
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,72356176471.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2642161669.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,632217000000.0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,19673284686.0
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,20324617839.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,437415000000.0
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,101584000000.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,43205000000.0
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,14338500000.0
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,27054889363.0
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,71857382746.0
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,3281500000.0
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7827980000.0
