Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Afghanistan,AFG,4.343190193,15641656598,39.73068246,33.9682879
Africa Eastern and Southern,AFE,4.244120121,1.33107E+12,73.65230193,65.80226817
Africa Western and Central,AFW,2.928499937,8.3879E+11,61.3640283,60.69027869
Albania,ALB,2.749310017,24120561687,98.53730416,54.66325474
Algeria,DZA,6.298999786,2.67237E+11,82.46719736,40.72074876
American Samoa,ASM,14.7170496,1102905551,97.69772317,13.31260339
Andorra,AND,2.666229963,3907481058,2.41179197,2.41179197
Angola,AGO,2.332000017,88297347289,72.98221178,65.24102619
Antigua and Barbuda,ATG,3.648000002,2167263595,98.9846457,3.299871817
Arab World,ARB,4.124774933,3.75207E+12,76.09791862,43.37289359
Argentina,ARG,4.647600174,6.94453E+11,97.31130895,58.43702431
Armenia,ARM,2.49326992,25304265326,99.79337987,57.14873995
Aruba,ABW,5.49105978,3896842507,98.08983564,4.96704863
Australia,AUS,5.206776619,1.88621E+12,4.709894576,65.66697502
Austria,AUT,4.774471283,5.60607E+11,4.318844084,60.24735015
Azerbaijan,AZE,2.904000044,76157584291,99.78827407,67.14435904
"Bahamas, The",BHS,3.085999966,15139019423,2.791503374,66.15394564
Bahrain,BHR,1.986999989,44758116773,97.9107219,71.45053455
Bangladesh,BGD,2.051000118,4.53645E+11,76.80141016,56.54838521
Barbados,BRB,5.125999928,6986481134,99.52318413,59.08729126
Belarus,BLR,5.187370777,78600969080,99.87991287,64.28631388
Belgium,BEL,6.210000038,7.03245E+11,5.617380509,54.58119585
Belize,BLZ,5.001999855,3578453412,81.76421145,60.25838957
Benin,BEN,3.210999966,20816135162,48.6365185,62.93285041
Bermuda,BMU,1.934000015,8101871413,1.749438635,1.749438635
Bhutan,BTN,8.142000198,3325137243,74.15483641,67.87789091
Bolivia,BOL,7.740739822,52270682007,94.28300814,70.34946105
Bosnia and Herzegovina,BIH,0,27054889363,98.30000305,44.079
Botswana,BWA,8.057999611,22223289741,87.78364286,52.99739026
Brazil,BRA,5.771500111,2.40063E+12,94.96722289,60.09792589
British Virgin Islands,VGB,2.869999886,0,2.596116155,2.596116155
Brunei Darussalam,BRN,4.425409794,16339492375,97.68647104,63.00951201
Bulgaria,BGR,4.290074825,1.09468E+11,98.48131288,55.53519957
Burkina Faso,BFA,5.27699995,22264975163,37.61706675,63.65677441
