Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Afghanistan,AFG,4.343190193,14502158192,37.2660408,31.268
Africa Eastern and Southern,AFE,4.244120121,1.24E+12,72.60040283,64.43696622
Africa Western and Central,AFW,2.928499937,7.97E+11,60.31269836,59.62061524
Albania,ALB,2.749310017,22977677861,98.5,53.507
Algeria,DZA,6.298999786,2.40E+11,81.40783691,37.139
American Samoa,ASM,14.7170496,871000000,97.34416199,0
Andorra,AND,2.666229963,3727673593,0,0
Angola,AGO,2.332000017,84722957642,72.40000153,64.492
Antigua and Barbuda,ATG,3.648000002,2033085185,98.94999695,0
Arab World,ARB,4.124774933,3.49E+12,75.17153168,41.17816372
Argentina,ARG,4.647600174,6.41E+11,97.1933136,56.613
Armenia,ARM,2.49326992,24212134631,99.78861237,56.16
Aruba,ABW,5.49105978,3544707788,97.98999786,0
Australia,AUS,5.206776619,1.72E+12,0,63.97
Austria,AUT,4.774471283,5.16E+11,0,58.453
Azerbaijan,AZE,2.904000044,72356176471,99.78256226,66.258
"Bahamas, The",BHS,3.085999966,14338500000,0,65.182
Bahrain,BHR,1.986999989,43205000000,97.8724823,70.928
Bangladesh,BGD,2.051000118,4.37E+11,76.36287689,55.727
Barbados,BRB,5.125999928,6393564190,99.5,57.098
Belarus,BLR,5.187370777,71857382746,99.87400055,62.528
Belgium,BEL,6.210000038,6.32E+11,0,51.878
Belize,BLZ,5.001999855,3281500000,80.90000153,58.375
Benin,BEN,3.210999966,19673284686,47.09999847,61.824
Bermuda,BMU,1.934000015,7827980000,0,0
Bhutan,BTN,8.142000198,2898227713,72.09999847,65.324
Bolivia,BOL,7.740739822,45849832906,93.85256195,68.117
Bosnia and Herzegovina,BIH,0,27054889363,98.30000305,44.079
Botswana,BWA,8.057999611,19395765126,86.82318115,49.302
Brazil,BRA,5.771500111,2.17E+12,94.69000244,57.9
British Virgin Islands,VGB,2.869999886,0,0,0
Brunei Darussalam,BRN,4.425409794,15128292954,97.58999634,61.467
Bulgaria,BGR,4.290074825,1.02E+11,98.41999817,53.74
Burkina Faso,BFA,5.27699995,20324617839,34.49000168,61.835
Burundi,BDI,4.821000099,2642161669,75.54000092,78.132
Cabo Verde,CPV,6.038000107,2587252076,91,50.893
Cambodia,KHM,1.671000004,31772759999,83.77999878,75.624
Cameroon,CMR,2.618000031,47945510090,78.23000336,69.294
Canada,CAN,4.139571667,2.14E+12,0,61.651
Caribbean small states,CSS,0,53252637670,91.03929138,53.7435153
Cayman Islands,CYM,2.062000036,6600844002,98.86782074,0
Central African Republic,CAF,2.11500001,2555492085,37.49000168,66.162
Central Europe and the Baltics,CEB,5.010000229,2.25E+12,99.42752075,55.4856037
Chad,TCD,2.539000034,13149325359,27.28000069,59.739
Channel Islands,CHI,0,11228317319,0,54.444
Chile,CHL,4.039999962,3.36E+11,97.16000366,55.751
China,CHN,3.298387527,1.78E+13,96.73951721,63.085
Colombia,COL,3.920000076,3.64E+11,95.63632965,57.334
Comoros,COM,2.431999922,1352380972,61.70999908,41.69
"Congo, Dem. Rep.",COD,3.003000021,66383287003,80.54000092,62.816
"Congo, Rep.",COG,2.951999903,15321055818,80.61000061,54.382
Costa Rica,CRI,6.281710148,86497941439,98.04000092,52.681
Cote d'Ivoire,CIV,3.519720078,78788828907,89.89341736,62.872
Croatia,HRV,5.200453281,82688842717,99.44999695,49.327
Cuba,CUB,9.38599968,1.07E+11,99.67311096,55.596
Curacao,CUW,7.318999767,3073840325,0,0
Cyprus,CYP,5.483181953,32229622669,99.36000061,61.134
Czechia,CZE,5.050000191,3.31E+11,0,58.552
Denmark,DNK,5.929999828,4.04E+11,0,60.534
Djibouti,DJI,3.751430035,4098530514,0,23.697
Dominica,DMA,4.657000065,653992592.6,0,0
Dominican Republic,DOM,3.940000057,1.21E+11,95.5,60.348
Early-demographic dividend,EAR,3.692499995,1.48E+13,80.82801056,53.96366236
East Asia & Pacific,EAS,3.402193785,3.08E+13,96.03774261,63.39933673
East Asia & Pacific (IDA & IBRD countries),TEA,3.098193765,2.11E+13,96.25110626,63.44499088
East Asia & Pacific (excluding high income),EAP,3.098193765,2.12E+13,96.29737091,63.55489582
Ecuador,ECU,3.64703989,1.19E+11,93.94812012,63.111
"Egypt, Arab Rep.",EGY,3.930848122,3.96E+11,74.5,41.26
El Salvador,SLV,4.531000137,34015620000,89.98452759,58.489
Equatorial Guinea,GNQ,2.187979937,12116922539,94.3705368,51.099
Eritrea,ERI,2.127000093,2065001626,76.57051849,73.703
Estonia,EST,5.909999847,40744848828,99.87000275,61.393
Eswatini,SWZ,6.313000202,4597855845,89.27999878,39.659
Ethiopia,ETH,3.736000061,1.64E+11,51.7711792,77.611
Euro area,EMU,5.005000114,1.55E+13,0,53.87405253
Europe & Central Asia,ECS,4.960000038,2.72E+13,98.5410614,55.43383629
Europe & Central Asia (IDA & IBRD countries),TEC,4.69618535,5.47E+12,99.349823,55.36342309
Europe & Central Asia (excluding high income),ECA,4.69618535,2.10E+12,99.32569122,52.97366252
European Union,EUU,5.010000229,1.83E+13,0,54.41033299
Faroe Islands,FRO,0,3555929833,0,0
Fiji,FJI,5.974999905,5494797541,0,55.69
Finland,FIN,5.710000038,3.00E+11,0,56.384
Fragile and conflict affected situations,FCS,3.54052496,1.91E+12,65.55536652,56.29074507
France,FRA,5.239999771,3.03E+12,0,52.29
French Polynesia,PYF,0,5814661209,0,49.597
Gabon,GAB,2.207999945,20516134389,85.69000244,39.026
"Gambia, The",GMB,2.727999926,2339904157,58.66999817,58.347
Georgia,GEO,3.812849998,30535530479,99.57498932,55.279
Germany,DEU,4.543890476,4.46E+12,0,59.779
Ghana,GHA,2.904999971,76370394412,80.37999725,66.372
Gibraltar,GIB,0,0,0,0
Greece,GRC,4.090000153,2.38E+11,93.90511322,46.281
Greenland,GRL,0,3235809504,0,0
Grenada,GRD,3.934999943,1320334236,98.40000153,0
Guam,GUM,0,6910000000,99.55999756,59.041
Guatemala,GTM,3.229409933,1.02E+11,84.26999664,58.599
Guinea,GIN,1.985999942,23612295818,45.33000183,49.9
Guinea-Bissau,GNB,2.13248992,1966461400,53.90000153,54.207
Guyana,GUY,4.45058012,16786302158,90.02999878,45.431
Haiti,HTI,1.02699995,19850829758,61.69134903,55.764
Heavily indebted poor countries (HIPC),HPC,3.224499941,1.13E+12,65.21852112,63.84997553
High income,HIC,4.960000038,6.77E+13,0,58.4853571
Honduras,HND,4.441999912,34400509852,88.50743103,58.505
"Hong Kong SAR, China",HKG,3.729120016,3.82E+11,0,55.278
Hungary,HUN,5.010000229,2.12E+11,99.09999847,58.468
IBRD only,IBD,3.64703989,3.87E+13,89.7009964,57.42524297
IDA & IBRD total,IBT,3.579999924,4.16E+13,84.9614563,57.51018721
IDA blend,IDB,3.324499965,1.04E+12,67.53321838,55.36070993
IDA only,IDX,3.378859997,1.79E+12,69.47164917,58.97008147
IDA total,IDA,3.378859997,2.83E+12,68.83825684,57.78738829
Iceland,ISL,7.139665127,31020032583,0,72.12
India,IND,4.635000229,3.55E+12,76.32277679,52.756
Indonesia,IDN,2.420125961,1.37E+12,95.99900818,65.385
