"Key aggregates, 2022-23 % change",,,,,,,,,,
,,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Australia
,GSP,3.7,2.6,2.3,3.8,3.5,1.1,-5.3,4.3,3
,GSP per capita (b),1.9,0.4,0,2.2,1,0.5,-6.2,2.4,1
,Real Gross State Income,3.7,2.5,3.5,2.4,2.1,-1,-3.7,4.2,2.9
Current price values,,,,,,,,,,
,GSP,10,9,10.9,9.9,10,6.2,2.5,9.5,9.8
,,,,,,,,,,
a. Reference year for chain volume measures is 2021-22.,,,,,,,,,,
"b. Population estimates are as published in National, state and territory population and ABS projections.",,,,,,,,,,
,,,,,,,,,,
"Source: Australian Bureau of Statistics, Australian National Accounts: State Accounts 2022-23 financial year",,,,,,,,,,
